Titulo,Compañia,Experiencia,Salario,Ubicacion,Fecha,Requisitos
Desarrollador Apps móviles,Social You,3,27.000 €,Sin informacion,05-01-2023,"['react', 'ios', 'android', 'java']"
SEM Specialist/Remoto,Social You,3,27.000 €,Sin informacion,05-01-2023,"['sem', 'ppc', 'Search', 'Display']"
Fullstack Developer React,Social You,5,30.000 €,Madrid,05-01-2023,"['react native', 'react', 'nodejs', 'NoSQL']"
Coordinador de Comunicación y Marketing,Social You,5,27.000 €,Barcelona,05-01-2023,"['marketing digital', 'comunicacion corporativa', 'RSS', 'Diseno grafico']"
Frontend Senior Angular Remoto,Social You,5,36.000 €,Sin informacion,05-01-2023,"['angular', 'typescript', 'javascript', 'html']"
Desarrollador .NET,ConsulSAP,2,Sin informacion,Sin informacion,05-01-2023,"['.NET', 'PHP', 'PL/SQL', 'Java']"
Analista Programador Java/PLSQL,Grupo Digital,3,Sin informacion,Granada,05-01-2023,"['Java', 'PL/SQL']"
Fullstack .NET Core / Vue.js (Remoto),PSS,2,Sin informacion,Sin informacion,05-01-2023,"['.net', '.net core', 'vue.js']"
Desarrollador Front Angular,PANEL Sistemas Informáticos,3,Sin informacion,Sin informacion,05-01-2023,"['angular', 'Typescript', 'Javascript', 'HTML']"
Frontend Developer with React [Remote],Almato Iberia,2,30.000 €,Barcelona,05-01-2023,['react']
Java Developer [Remote Spain],Almato Iberia,2,24.000 €,Sin informacion,05-01-2023,['java']
Analista Técnico Extranjero,ICES SA,5,30.000 €,Madrid,05-01-2023,"['Cobol', 'JCL', 'DB2']"
Desarrollador/a BackEnd ( Remoto ),CAS TRAINING,2,30.000 €,Sin informacion,05-01-2023,"['JAVA', 'SPRING BOOT', 'REST', 'NODE JS']"
Backend Node.js Developer - Full Remote,GeeksHubs,2,33.000 €,Sin informacion,05-01-2023,"['node.js', 'TypeScript', 'APIs REST', 'Mongo DB']"
Programador/a React,OXIGENT Technologies,3,33.000 €,Madrid,05-01-2023,['react']
Prácticas en Desarrollo de Software,Capgemini,Sin informacion,Sin informacion,Valencia,05-01-2023,"['JAVA', 'REACT', 'ANGULAR']"
Programadores PHP,Seltime,2,24.000 €,Sin informacion,05-01-2023,"['php', 'SQL Server', 'Oracle', 'Javascript']"
Desarrollador React + NodeJS,SoftPoint Consultores,2,27.000 €,Sin informacion,05-01-2023,"['react', 'nodejs', 'express', 'react native']"
Analista Programador/a,Ibermatica,3,Sin informacion,Madrid,05-01-2023,"['aws', 'Talend']"
Desarrollador Senior Full- Stack,Human Selection,3,30.000 €,Vizcaya,05-01-2023,"['reactJS', 'APIS', 'DEVOPS']"
Programador Senior Angular-Microserv,PANEL Sistemas Informáticos,3,Sin informacion,Sin informacion,05-01-2023,"['angular', 'microservicios', 'paperjs', 'HTML5']"
Técnico Sistemas N1,PANEL Sistemas Informáticos,1,Sin informacion,Valladolid,05-01-2023,"['windows', 'linux', 'oracle', 'office']"
Programador/a Java Hibrido,Krell Consulting & Training,2,24.000 €,Madrid,05-01-2023,"['JAVA', 'ANGULAR']"
Desarrollador/a Spring Boot,Capgemini,2,Sin informacion,Asturias,05-01-2023,"['spring', 'java', 'springboot']"
Desarrollador/a JAVA,Capgemini,2,Sin informacion,Asturias,05-01-2023,"['java', 'spring', 'sprinboot', 'microservicios']"
QA Engineer 100% remoto,Open Sistemas,1,30.000 €,Sin informacion,05-01-2023,"['tester', 'QA', 'Selenium', 'Jasmine']"
Desarrollador .net,Human Selection,5,30.000 €,Vizcaya,05-01-2023,"['.net', 'APIs REST', 'SQL', 'DevOps']"
Analista senior,Grupo Reacciona,5,36.000 €,Madrid,05-01-2023,"['PHP', 'Laravel', 'Python', 'javascript']"
"Analistas de Software (Java, SAP, BI...)",NTT Data,2,Sin informacion,Granada,05-01-2023,"['java', 'sap', 'react', 'salesforce']"
Programadores/as Java 100% Teletrabajo,PSS,3,30.000 €,Sin informacion,05-01-2023,['java']
REACT Software Architecht as Technical T,Almato Iberia,5,45.000 €,Sin informacion,05-01-2023,"['react', 'software']"
IT Programador Java,ALTEN Spain,2,Sin informacion,Madrid,05-01-2023,"['java', 'active directory', 'Windows server']"
Programador Fullstack Java,CMV Consultores,2,Sin informacion,Madrid,05-01-2023,"['java', 'angular', 'javascript', 'Spring Boot']"
SAP BW Consultant (I&D),Capgemini,5,Sin informacion,Madrid,05-01-2023,"['SAP BW', 'SAP S/4HANA']"
"Analistas de Software (Java, SAP, BI)",NTT Data,2,Sin informacion,Almería,05-01-2023,"['java', 'sap', 'net', 'ios']"
Desarrolladores IONIC,Krell Consulting & Training,2,21.000 €,Madrid,05-01-2023,"['ionic', 'Cordova', 'capacitor', 'git']"
"Desarrollador Web (Angular, CSS, C#)",The Adecco Group,2,27.000 €,Madrid,05-01-2023,"['Angular', 'React', 'bootstrap', 'css']"
Senior Java developer,Apolo IT Group,1,Sin informacion,Madrid,05-01-2023,"['java', 'aws', 'spring', 'dockers']"
Java Developer,OXIGENT Technologies,3,39.000 €,Barcelona,05-01-2023,"['java', 'kubernetes']"
Fullstack Developer,Capgemini,3,Sin informacion,Valencia,05-01-2023,"['Java', 'Angular', 'SQL', 'Front end']"
Developer .Net,Prodware España,3,21.000 €,Madrid,05-01-2023,"['.net', 'Dynamics 365']"
Desarrollador Front Angular,PANEL Sistemas Informáticos,5,21.000 €,Sin informacion,05-01-2023,"['angular', 'Javascript es6', 'Typescript', 'Angular DevTools']"
Desarrollador/a Frontend,Balterra Ingenieria,3,24.000 €,Valencia,05-01-2023,"['Javacript', 'Typescript', 'React', 'HTML5']"
Software engineer for Space Projects,GMV,2,Sin informacion,Madrid,05-01-2023,"['C++', 'java']"
Ingeniero/a de Software,GMV,2,Sin informacion,Madrid,05-01-2023,"['Java', 'JavaScript', 'Microservicios']"
Analista Fullstack Java-Angular,Page Personnel,5,Sin informacion,Madrid,05-01-2023,"['Java', 'Angular']"
Backend con Google Cloud,HAYS,3,Sin informacion,Madrid,05-01-2023,"['Java', 'Google Cloud']"
Content Creator Corporativo,HAYS,3,Sin informacion,Barcelona,05-01-2023,"['Social Media', 'marketing']"
Programadores y Analistas Java,arelance,2,27.000 €,Sin informacion,05-01-2023,"['java', 'spring', 'hibernate', 'jpa']"
Android Developer,HAYS,2,Sin informacion,Madrid,05-01-2023,"['Android', 'Java']"
Desarrollador/consultor Sr. blockchain,AUREN DIGITAL,5,Sin informacion,Madrid,04-01-2023,"['Java', 'Scrum', 'Blockchain']"
Frontend Developer,Grupo Sermicro,3,Sin informacion,Sin informacion,04-01-2023,"['Javascript', 'Typescript', 'React', 'Angular']"
Administrador Bases de Datos Oracle,Serem,5,Sin informacion,Madrid,04-01-2023,['oracle']
Programador/a Senior VueJS,arelance,5,30.000 €,Madrid,04-01-2023,"['vuejs', 'javascript']"
Agente de Helpdesk - Italiano C1/C2,Serem,Sin informacion,12.000 €,Sin informacion,04-01-2023,['helpdesk']
Offensive Security Engineer SSDLC,Ibermatica,5,Sin informacion,Sin informacion,04-01-2023,"['ciberseguridad', 'auditoria de codigo', 'pentesting']"
IT Desarrollador Java Remoto,ALTEN Spain,3,24.000 €,Sin informacion,04-01-2023,"['java', 'J2EE']"
Frontend developer junior,Blimburn seeds,2,Sin informacion,Sin informacion,04-01-2023,"['Woocommerce', 'CSS', 'HTML', 'Javascript']"
Desarrollador/a .Net Core,Serem,3,Sin informacion,Barcelona,04-01-2023,"['.net', 'c#', 'asp. Net', 'Winforms']"
Analista Programador Angular,Ibermatica,3,Sin informacion,Madrid,04-01-2023,['angular']
Desarrollador PHP,HAYS,Sin informacion,Sin informacion,Guipúzcoa,04-01-2023,"['php', 'react', 'node', 'docker']"
(Senior) Software Developer,Coda.Tech,5,Sin informacion,Sin informacion,04-01-2023,"['PHP', 'MICROSERVICES', 'VUE.Js', 'SQL']"
Desarrollador SOA Remoto,Tuyú Technology,3,30.000 €,Sin informacion,04-01-2023,"['SOA', 'OSB', 'Oracle', 'Middleware']"
FrontEnd Developer,Grupo Sermicro,3,Sin informacion,Sin informacion,04-01-2023,"['react', 'angular']"
Analista programador .NET,Ibermatica,2,Sin informacion,Madrid,04-01-2023,"['.net', 'C#', 'SQL SERVER']"
Fullstack Developer,Dars Telecom,5,30.000 €,Madrid,04-01-2023,"['Java', 'Java8', 'SpringBoot', 'Spring5']"
Ingeniero/a de simulación aeronáutica,GMV,2,Sin informacion,Madrid,04-01-2023,"['simulacion', 'MBSE', 'aeronautica']"
Apigee Senior Developer,Page Personnel,3,Sin informacion,Madrid,04-01-2023,"['Apigee', 'Javascript']"
Senior Full Stack Developer,HAYS,5,Sin informacion,Valencia,04-01-2023,"['Net', 'angular']"
Data Engineer,Michael Page,3,33.000 €,Sin informacion,04-01-2023,"['Tableau', 'Power BI', 'SQL']"
Desarrollador Full Stack,Page Personnel,3,Sin informacion,Sevilla,04-01-2023,"['Net', 'C#']"
Especialista Oracle,HAYS,3,Sin informacion,Madrid,04-01-2023,['Oracle']
Administrador de Sistemas,Page Personnel,5,Sin informacion,Madrid,04-01-2023,"['Azure', 'Windows']"
Ingeniero/a de software Frontend,GMV,2,Sin informacion,Valladolid,04-01-2023,"['HTML', 'CSS', 'JavaScript']"
System Integrator,HAYS,3,Sin informacion,Madrid,04-01-2023,"['Open API', 'SWAGGER', 'ASYNC']"
Técnico/a de redes senior para Galileo,GMV,3,Sin informacion,Madrid,04-01-2023,"['redes', 'switch', 'firewall']"
Prácticas Consultoría ciberseguridad,GMV,Sin informacion,Sin informacion,Madrid,04-01-2023,['ciberseguridad']
Prácticas Ingeniería de ciberseguridad,GMV,Sin informacion,Sin informacion,Barcelona,04-01-2023,['ciberseguridad']
Java Senior Developer,HAYS,3,Sin informacion,Valencia,04-01-2023,['java']
Ingeniero/a documentación técnica,GMV,3,Sin informacion,Madrid,04-01-2023,"['RAMS', 'FCAS', 'FHA']"
Marketing Manager,Michael Page,5,Sin informacion,Málaga,04-01-2023,['Marketing']
Full Stack Developer,HAYS,5,36.000 €,Sin informacion,04-01-2023,"['.NET', 'Angular', 'Blockchain']"
Analista Absis Banca Teletrabajo,Krell Consulting & Training,1,Sin informacion,Sin informacion,03-01-2023,"['QT', 'c++']"
Programador Web,Resistencias Industriales Maxiwatt,2,Sin informacion,Alicante,03-01-2023,"['Angular', 'Laravel', 'Twig', 'PHP']"
C/C++ or Python Software engineer,GMV,3,Sin informacion,Madrid,03-01-2023,"['C', 'C++', 'Python']"
IT Manager - Cliente Final,Michael Page,3,Sin informacion,Madrid,03-01-2023,"['SAP', 'Axapta', 'Navision']"
Técnico Hardware Especialista,GMV,2,Sin informacion,Madrid,03-01-2023,['Hardware']
Subcontractor Manager,GMV,2,Sin informacion,Madrid,03-01-2023,['Space Ground']
Senior .NET Developer,Page Personnel,3,Sin informacion,Málaga,03-01-2023,"['Net', 'C#']"
Prácticas Ingeniería de software,GMV,Sin informacion,Sin informacion,Zaragoza,03-01-2023,"['C++', 'Net', 'C#', 'SQL']"
Ingeniero/a Big Data,GMV,2,Sin informacion,Madrid,03-01-2023,"['Python', 'SQL', 'Angular']"
Analista de teledetección,GMV,3,Sin informacion,Madrid,03-01-2023,"['Python', 'machine learning', 'deep learning']"
Desarrollador/a React - Big Data,Page Personnel,3,Sin informacion,Madrid,03-01-2023,"['React', 'Scala', 'Spark', 'Kafka']"
Testing engineer for GNSS,GMV,2,Sin informacion,Madrid,03-01-2023,"['GNSS', 'Linux']"
IT Service Delivery Manager,GMV,3,Sin informacion,Madrid,03-01-2023,"['ciberseguridad', 'Check Point']"
Analista Programador Java,Michael Page,5,30.000 €,Sin informacion,03-01-2023,"['java', 'Spring']"
Project Manager - Gestión AMS,Grupo Digital,5,Sin informacion,Madrid,03-01-2023,"['PROJECT MANAGER', 'gestion proyectos', 'AMS']"
eCommerce Manager,Michael Page,3,39.000 €,Barcelona,03-01-2023,"['eCommerce', 'SEM', 'SEO', 'HTML']"
Desarrollador JAVA Senior,HAYS,5,33.000 €,Valencia,03-01-2023,"['java', 'Spring', 'Springboot', 'MySQL']"
Desarrollador .NET Senior,HAYS,5,33.000 €,Valencia,03-01-2023,"['Visual Studio', '.Net', 'C#', 'Git']"
Desarrollador PHP Senior,HAYS,5,33.000 €,Sin informacion,03-01-2023,"['php', 'Laravel', 'Symfony', 'BBDD']"
Senior Front Developer,Mytic Innova,2,36.000 €,Barcelona,02-01-2023,"['HTML5', 'CSS', 'PHP', 'JAVA']"
Director/a Técnico de IT,Balterra Ingenieria,3,36.000 €,Valencia,02-01-2023,"['Javacript', 'React', '.Net Core', 'MySQL']"
Desarrollador Java/Web services,PANEL Sistemas Informáticos,3,Sin informacion,Madrid,02-01-2023,"['JAVA', 'JSP', 'JAVASCRIPT', 'CSS']"
Secure Software Development Life Cycle,Grupo SIA,3,Sin informacion,Madrid,02-01-2023,"['SDLC', 'JAVA', 'SonarQube', 'Kiuwan']"
Analista Programador Java,arelance,2,30.000 €,Madrid,02-01-2023,"['java', 'Spring Boot']"
Ingeniero de seguridad CERT,GMV,Sin informacion,Sin informacion,Madrid,02-01-2023,"['CERT', 'ciberseguridad ']"
Webs & Apps Digital Analyst,HAYS,3,Sin informacion,Madrid,02-01-2023,"['Adobe Analytics', 'Adobe Launch', 'Adobe target']"
Security Engineer,Page Personnel,5,45.000 €,Barcelona,02-01-2023,"['Security', 'CISSP']"
Marketing Manager,Michael Page,5,Sin informacion,Barcelona,02-01-2023,"['marketing', 'RRSS', 'email marketing', 'newsletter']"
Técnico/a de Verificación Hardware Jr,GMV,1,Sin informacion,Madrid,02-01-2023,"['ESD', 'Hardware']"
Ingeniero/a Junior proyectos innovadores,GMV,Sin informacion,Sin informacion,Madrid,02-01-2023,"['java', 'C#']"
Ingeniero/a de software,GMV,2,Sin informacion,Madrid,02-01-2023,"['Telecomunicaciones', 'Informatica']"
Ingeniero/a de Análisis y Arquitectura,GMV,1,Sin informacion,Madrid,02-01-2023,"['DOORS', 'ILS']"
Técnico/a de Desarrollo Angular,Tuyú Technology,2,21.000 €,Sin informacion,02-01-2023,['angular']
Programador Senior,Dev&del,5,Sin informacion,Málaga,30-12-2022,"['Java', 'Spring', 'Angular', 'Vue']"
Programador Fullstack Senior,Sellboost,5,27.000 €,Sin informacion,30-12-2022,"['PHP', 'Laravel', 'Javascript', 'React']"
Frontend Developer,arelance,2,24.000 €,Sin informacion,30-12-2022,"['react', 'angular', 'Vue', 'javascript']"
Desarrollador SR JAVA J2EE Teletrabajo,Krell Consulting & Training,5,Sin informacion,Sin informacion,30-12-2022,"['java', 'j2ee', 'spring', 'struts']"
Desarrollador Spring Batch - 100% remoto,Second Window,2,30.000 €,Sin informacion,30-12-2022,"['spring', 'java', 'batch', 'CI/CD']"
Programador C# (30k-40k),The Adecco Group,2,30.000 €,Madrid,30-12-2022,"['c#', 'sql', 'pl', 'Git flow']"
Programador Backend Symfony,Singular Factory,5,24.000 €,Sin informacion,30-12-2022,"['Symfony', 'PHP', 'API', 'Backend']"
Senior FrontEnd React Developer,Grupo Sermicro,3,Sin informacion,Sin informacion,30-12-2022,"['react', 'typescript', 'javascript']"
Maquetador/a Digital,Adraba Marketing y Comunicación,1,18.000 €,Madrid,30-12-2022,"['css', 'php', 'html', 'photoshop']"
Desarrollador WEB Wordpress,ENART SYSTEMS,2,Sin informacion,Cádiz,30-12-2022,"['wordpress', 'php', 'javascript', 'css']"
Full-Stack Developer (nodejs & Reactjs),PAVAPARK MOVILIDAD,1,Sin informacion,Valencia,30-12-2022,"['NodeJS', 'ReactJS', 'Git']"
Frontend Developer Angular,Tacubaya Consulting,2,Sin informacion,Sin informacion,30-12-2022,"['angular', 'Javascript']"
Técnico/a Linux,Serem,2,Sin informacion,Madrid,30-12-2022,"['linux', 'redhat', 'jboss', 'tomcat']"
IT Desarrollador PHP/Symfony Remoto,ALTEN Spain,5,Sin informacion,Sin informacion,30-12-2022,"['PHP', 'Symfony']"
Analista / Programador PHP - Wordpress,Boream,3,30.000 €,Sin informacion,30-12-2022,"['php', 'wordpress']"
Agente de Helpdesk - Francés C1/C2,Serem,Sin informacion,15.000 €,Sin informacion,30-12-2022,['helpdesk']
Desarrollador Senior,Deipe,2,24.000 €,Las Palmas,30-12-2022,"['Reactjs', 'symfony', 'angularjs', 'php']"
IT Desarrollo BackEnd NodeJS Remoto,ALTEN Spain,3,Sin informacion,Sin informacion,30-12-2022,"['nodejs', 'node']"
Desarrollador/a Backend RFID,HAYS,3,Sin informacion,Guipúzcoa,30-12-2022,"['microservicios', 'REST', 'java']"
Frontend Developer React,HAYS,3,48.000 €,Barcelona,30-12-2022,"['React', 'JavaScript']"
Copy & Content Manager sector Deporte,Michael Page,5,Sin informacion,Barcelona,30-12-2022,"['HTML', 'XHTML', 'CSS', 'Java']"
Ingeniero/a de software front-end,GMV,2,Sin informacion,Madrid,30-12-2022,"['React', 'Angular', 'ASP NET']"
Responsable tienda Online,HAYS,2,Sin informacion,Madrid,30-12-2022,"['ecommerce', 'marketing digital']"
Ingeniero/a de producto (Electrónica),GMV,1,Sin informacion,Madrid,30-12-2022,['electronica']
CTO tecnológico,Page Personnel,5,60.000 €,Pontevedra,30-12-2022,"['java', 'Spring']"
Ingeniero/a de sistemas UAS junior,GMV,1,Sin informacion,Madrid,30-12-2022,"['UAS', 'UAV', 'aeronautica']"
Técnico/a Informático/a,TASTIA GROUP,2,Sin informacion,Castellón,30-12-2022,"['Navision', 'Excel', 'BBDD', 'SQL']"
Desarrollador/a Full Stack,Fidenet Comunicación,3,Sin informacion,Guipúzcoa,29-12-2022,"['PHP', 'SYMFONY', 'ANGULAR', 'NODE.JS']"
Desarrollador/a BACK END,Fidenet Comunicación,3,Sin informacion,Guipúzcoa,29-12-2022,"['PHP', 'PYTHON', 'JAVASCRIP', 'NODE.JS']"
Desarrollador de Software,ASERTI GLOBAL SOLUTIONS,1,Sin informacion,Murcia,29-12-2022,"['java', 'Python', 'JavaScript', 'SQL']"
Analista Programador,ILUNION CONTACT CENTER BPO,2,33.000 €,Madrid,29-12-2022,"['.NET', 'C#', 'ASP.NET', '.NET CORE']"
Ingeniero/a de software,GMV,3,Sin informacion,Madrid,29-12-2022,"['java', 'linux', 'oracle', 'postgreSQL']"
Especialista en diseño web UX/UI,Fidenet Comunicación,2,Sin informacion,Guipúzcoa,29-12-2022,"['UX/UI', 'HTML', 'CSS']"
JAVA Web Developer,7Experts,1,Sin informacion,Alicante,29-12-2022,"['JAVA', 'html', 'css', 'Javascript']"
Unity Developer,arelance,2,18.000 €,Sin informacion,29-12-2022,"['unity', 'WebGL', 'UniRx', 'XR']"
Desarrollador/a Backend - JIRA,Sin Informacion,3,Sin informacion,Madrid,29-12-2022,"['JIRA', 'Full Stack']"
Desarrollador/a Frontend React (remoto),OXIGENT Technologies,5,36.000 €,Barcelona,29-12-2022,"['react', 'typescript', 'javascript']"
Programador/a .NET,HAYS,2,Sin informacion,Guipúzcoa,29-12-2022,['.net']
Ingeniero/a de testing para migración,GMV,1,Sin informacion,Madrid,29-12-2022,"['microservicios', 'testing']"
Back End - Full Stack Junior Engineer,People Experts,1,Sin informacion,Madrid,29-12-2022,"['Vue', 'PHP', 'Laravel', 'Linux']"
Angular Developer (Híbrido),OXIGENT Technologies,3,33.000 €,Barcelona,29-12-2022,"['angular', 'javascript', 'ionic', 'git']"
Fórmate en programación Web,Fundación EDE - EDE Fundazioa,Sin informacion,Sin informacion,Vizcaya,29-12-2022,"['codeigniter', 'SQL', 'php', 'HTML']"
Desarrollador/a Front End,Fidenet Comunicación,2,Sin informacion,Guipúzcoa,29-12-2022,"['HTML', 'CSS', 'JAVASCRIPT', 'ANGULAR']"
Técnico de Soporte de Clientes,GMV,2,Sin informacion,Valladolid,29-12-2022,"['SQL', 'windows']"
Ingeniero/a senior de ciberseguridad,GMV,5,Sin informacion,Barcelona,29-12-2022,['ciberseguridad']
Técnico para desarrollo python,GMV,2,Sin informacion,Madrid,29-12-2022,['python']
Líder técnico software backend,GMV,5,Sin informacion,Barcelona,29-12-2022,['NET Core']
Técnico/a de Soporte de Aplicaciones,GMV,2,Sin informacion,Madrid,29-12-2022,"['VBA', 'git', 'Python']"
Desarrollador de Drupal,Aictina Consulting,3,33.000 €,Sin informacion,28-12-2022,"['drupal', 'PHP']"
Desarrollador Django (Python),GESPROMO DIGITAL,2,21.000 €,Barcelona,28-12-2022,"['Django', 'Python', 'Javascript', 'PostgreSQL']"
Desarrollador/a Python,Fidenet Comunicación,2,Sin informacion,Guipúzcoa,28-12-2022,"['Python', 'ERP', 'CRM', 'ODOO']"
Tech Leader,Capgemini,2,Sin informacion,Asturias,28-12-2022,"['Cloud', 'DevOps', 'Java', 'Serveless']"
Programador java developer,TRS Staffing Solutions,3,30.000 €,Sin informacion,28-12-2022,"['java', 'spring', 'spring boot', 'kibana']"
Programador/a .NET,Ibermatica,3,Sin informacion,Madrid,28-12-2022,"['net', 'sharepoint']"
QA Analyst Senior,HAYS,5,Sin informacion,Barcelona,28-12-2022,"['QA', 'testing']"
Desarrollador SAP ABAP H/M,Krell Consulting & Training,5,Sin informacion,Madrid,28-12-2022,"['sap', 'abap']"
Jefe de proyecto,GMV,5,Sin informacion,Madrid,28-12-2022,['gestion de proyectos']
Ingeniero/a SW Junior (desarrollo e IA),GMV,1,Sin informacion,Madrid,28-12-2022,"['Java', 'Python', 'Javascript']"
Marketing de Producto,Michael Page,3,Sin informacion,Madrid,28-12-2022,['Marketing']
Técnico de Soporte 24x7,Serem,1,Sin informacion,Madrid,28-12-2022,"['soporte', 'Linux']"
IT Desarrollador/a Front End Híbrido,ALTEN Spain,5,Sin informacion,Madrid,27-12-2022,"['HTML', 'CSS', 'Bootstrap', 'JavaScript']"
Desarrollador/a Senior C++,RDT,5,Sin informacion,Álava,27-12-2022,"['C++', 'Microcontroladores']"
FullStack C#,HAYS,2,Sin informacion,Málaga,27-12-2022,"['C#', 'Net']"
Arquitecto Frontend,Michael Page,3,60.000 €,Sin informacion,27-12-2022,"['Rollup', 'Webpack', 'Frontend', 'gaming']"
Marketing/Specialty Leasing Manager,Michael Page,3,Sin informacion,Murcia,27-12-2022,"['marketing', 'redes sociales']"
Programador/a PHP (Laravel / Symfony),The Adecco Group,2,21.000 €,Sin informacion,26-12-2022,"['PHP', 'Laravel', 'Symfony', 'JavaScript']"
Desarrollo de infraestructuras,ALTEN Spain,2,Sin informacion,Madrid,26-12-2022,"['VUE', 'NODE JS']"
Analista Funcional Java,arelance,5,36.000 €,Sin informacion,26-12-2022,"['java', 'spring', 'pl/sql', 'struts']"
Programador informático,"Casty, S.A",Sin informacion,Sin informacion,Toledo,26-12-2022,"['.NET', 'DELPHI', 'JAVASCRIPT', 'JQUERY']"
Team Leader Java,HAYS,5,Sin informacion,Vizcaya,26-12-2022,"['java', 'Spring']"
Senior frontend Developer,The Adecco Group,5,21.000 €,Granada,26-12-2022,"['JavaScript', 'Vue.js', 'Nuxt.js', 'HTML']"
Responsable Desarrollo de Software,Page Personnel,5,45.000 €,Pontevedra,26-12-2022,"['GIS', 'Arquitectura web']"
Head of Digital,Michael Page,5,Sin informacion,Sin informacion,26-12-2022,"['marketing digital', 'SEO', 'SEM']"
Full Stack (Node + Angular),Page Personnel,3,Sin informacion,Madrid,26-12-2022,"['Node', 'Angular']"
.NET Developer - Híbrido,Page Personnel,2,Sin informacion,Barcelona,26-12-2022,"['Net', 'C#']"
System Linux Engineer,Page Personnel,5,39.000 €,Sin informacion,26-12-2022,"['Linux', 'Jenkins']"
GNSS signal processing engineer,GMV,2,Sin informacion,Madrid,26-12-2022,"['GNSS', 'comunicaciones digitales', 'radiofrecuencia']"
IT Service Manager - Desarrollo Software,Michael Page,5,39.000 €,Zaragoza,26-12-2022,"['Net', 'ITIL']"
Responsable de Marketing,Michael Page,5,39.000 €,Barcelona,26-12-2022,"['Marketing', 'Office']"
Member of PMO in FCAS,GMV,2,Sin informacion,Madrid,26-12-2022,"['Telecomunicaciones', 'Informatica', 'electronica']"
Consultor/a Junior de Seguridad,GMV,2,Sin informacion,Madrid,26-12-2022,"['seguridad', 'SIEM']"
Arquitecto/a de Ciberseguridad,GMV,3,Sin informacion,Madrid,26-12-2022,['Ciberseguridad']
Gerente de Seguridad nube GCP,Michael Page,5,60.000 €,Madrid,26-12-2022,"['ciberseguridad', 'GCP']"
.NET Software Developer,Page Personnel,1,39.000 €,Barcelona,26-12-2022,['NET']
Analista SAP Movilidad (PM),Grupo Digital,3,Sin informacion,Madrid,26-12-2022,['SAP']
Ingeniero/a SW de bajo nivel C/C++,GMV,2,Sin informacion,Madrid,23-12-2022,"['C', 'C++']"
Python Tech Lead 50% Teletrabajo,Page Personnel,5,Sin informacion,Barcelona,23-12-2022,['Python']
Desarrollador/a Full Stack,Balterra Ingenieria,3,24.000 €,Valencia,23-12-2022,"['Javacript', 'Typescript', 'React', '.Net Core']"
Desarrollador/a Java Senior,HAYS,3,Sin informacion,Vizcaya,23-12-2022,['java']
Programador Senior .Net,Invoin,5,42.000 €,Madrid,23-12-2022,['.net']
Software Developer PHP / Symfony,Coda.Tech,2,18.000 €,Sin informacion,23-12-2022,"['PHP', 'Symfony', 'MySQL', 'PostgreSQL']"
Desarrolladores y Analistas .NET Core,arelance,2,27.000 €,Sin informacion,23-12-2022,"['.net core', 'angular', 'c#', 'sql server']"
Desarrollador Web Angular y React,arelance,3,33.000 €,Sin informacion,23-12-2022,"['angular', 'javascript', 'html', 'css']"
Desarrollador/a Junior Java,Capgemini,Sin informacion,Sin informacion,Asturias,23-12-2022,"['java', 'javascript']"
Gestor/a control seguridad información,GMV,3,Sin informacion,Madrid,23-12-2022,"['seguridad', 'SGSI', 'ISO 27001']"
Consultor/a normativa ciberseguridad,GMV,2,Sin informacion,Madrid,23-12-2022,['ciberseguridad']
Desarrollador - Devops,TRS Staffing Solutions,3,36.000 €,Sin informacion,23-12-2022,"['Linux', 'azure devops', 'jenkins']"
Ingeniero/a de Testing Automático,GMV,2,Sin informacion,Madrid,23-12-2022,"['testing', 'Microservicios', 'Docker']"
Consultor Junior Oracle OCI,arelance,3,27.000 €,Madrid,23-12-2022,['oracle']
Líder Mobile Android,Ya Ganaste,3,Sin informacion,Vizcaya,23-12-2022,"['android', 'json', 'java', 'kotlin']"
Ingeniero/a de Componentes,GMV,1,Sin informacion,Madrid,23-12-2022,"['electronica', 'Altium']"
Analista funcional técnico JAVA Remoto,Krell Consulting & Training,5,Sin informacion,Sin informacion,23-12-2022,"['java', 'web', 'funcional', 'analisis']"
Ingeniero/a de integraciones,Michael Page,3,39.000 €,Sevilla,23-12-2022,"['Kubernetes', 'docker']"
Desarrollador PHP Symfony,Page Personnel,1,27.000 €,Madrid,23-12-2022,"['PHP', 'Symfony', 'mysql']"
Backend Developer,Page Personnel,3,45.000 €,Barcelona,23-12-2022,"['java', 'API']"
Prácticas Predicción de trayectorias,GMV,Sin informacion,Sin informacion,Madrid,23-12-2022,"['Matlab', 'Python', 'C', 'C++']"
Ingeniero/a de software Junior,GMV,1,Sin informacion,Madrid,23-12-2022,"['Telecomunicaciones', 'aeronautica', 'C', 'C++']"
Ingeniero de Telecomunicaciones,HAYS,5,Sin informacion,Barcelona,23-12-2022,"['Python', 'JavaScript', 'Node js']"
Ingeniero/a Software Junior,GMV,2,Sin informacion,Madrid,23-12-2022,"['Net', 'C#']"
Arquitecto Aplicaciones Web,HAYS,5,Sin informacion,Madrid,23-12-2022,"['Net', 'C#']"
Project Manager Sistemas Electrónicos,Michael Page,3,Sin informacion,Madrid,23-12-2022,['Electronica']
Desarrollador/a software .NET,Page Personnel,5,33.000 €,Madrid,23-12-2022,['Net']
Java developer,Grupo CMC,3,27.000 €,Sin informacion,23-12-2022,"['Java', 'MySQL']"
