Titulo,Compañia,Experiencia,Salario,Ubicacion,Fecha,Requisitos
Data Engineer,HAYS,2,Sin informacion,Valencia,04-01-2023,"['Python', 'SQL']"
Data Engineer ETL,Grupo Digital,5,Sin informacion,Vizcaya,03-01-2023,"['ETL', 'Java', 'Hadoop', 'Scala']"
Data Engineer,HAYS,1,Sin informacion,Madrid,03-01-2023,"['data', 'ETL']"
Ingeniero/a Big Data,GMV,2,Sin informacion,Madrid,03-01-2023,"['Python', 'SQL', 'Angular']"
Analista de teledetección,GMV,3,Sin informacion,Madrid,03-01-2023,"['Python', 'machine learning', 'deep learning']"
Desarrollador/a React - Big Data,Page Personnel,3,Sin informacion,Madrid,03-01-2023,"['React', 'Scala', 'Spark', 'Kafka']"
BI Developer (h/m/d),Michael Page,3,39.000 €,Zaragoza,03-01-2023,"['BI', 'ETL', 'Tableau', 'Power BI']"
"Analista de datos (Spark,Scala, Python)",arelance,2,Sin informacion,Madrid,02-01-2023,"['Python', 'Spark', 'Scala', 'Microstrategy']"
Galileo Ground Segment System Engineer,GMV,3,Sin informacion,Madrid,02-01-2023,"['sistemas', 'redes']"
IT Senior Data Scientist Híbrido,ALTEN Spain,5,Sin informacion,Madrid,02-01-2023,"['Python', 'SQL']"
Analista Programador Java,arelance,2,30.000 €,Madrid,02-01-2023,"['java', 'Spring Boot']"
DevOps/DataOps Engineer,TK Elevadores,2,27.000 €,Madrid,02-01-2023,"['Azure', 'IoT', 'CI/CD', '.NET']"
"Data Analyst (SQL, Power BI, Python)",Michael Page,5,Sin informacion,Sin informacion,02-01-2023,"['SQL', 'Power BI', 'Python']"
Ingeniero/a Junior proyectos innovadores,GMV,Sin informacion,Sin informacion,Madrid,02-01-2023,"['java', 'C#']"
Data Scientist Big Data/IA/Deep learning,PANEL Sistemas Informáticos,5,Sin informacion,Madrid,30-12-2022,"['data', 'nlp', 'azure', 'python']"
Data Engineer - Especialista ETL,Page Personnel,Sin informacion,24.000 €,Madrid,30-12-2022,"['ETL', 'SQL', 'Python', 'BI']"
Ingeniero/a de software,GMV,3,Sin informacion,Madrid,29-12-2022,"['java', 'linux', 'oracle', 'postgreSQL']"
Desarrollador Fullstack Typescript,Publifilms Media,5,45.000 €,Madrid,29-12-2022,"['Typescript', 'PHP', 'Mysql', 'AWS']"
Engineering Manager,Page Personnel,5,60.000 €,Barcelona,29-12-2022,"['Java', 'Typescript', 'NodeJS']"
Consultor BI,HAYS,3,Sin informacion,Barcelona,29-12-2022,"['Power BI', 'SQL', 'Python', 'ETL']"
Técnico/a - IT Talent Acquisition,GMV,2,Sin informacion,Madrid,29-12-2022,['Talent Solutions']
Data Architect,HAYS,3,Sin informacion,Barcelona,29-12-2022,"['Hadoop', 'Spark', 'Kafka']"
Ingeniero/a de infraestructuras,GMV,2,Sin informacion,Madrid,28-12-2022,"['Linux', 'Windows', 'redes']"
Administrador/a de sistemas,GMV,2,Sin informacion,Madrid,28-12-2022,"['Linux', 'Windows']"
DevOps Engineer (Jenkins + AWS or GCP),Page Personnel,3,39.000 €,Sin informacion,28-12-2022,"['Jenkins', 'AWS', 'Google Cloud Platform']"
Senior/Lead Data Scientist,Michael Page,5,60.000 €,Madrid,28-12-2022,"['data', 'Python']"
Senior Software Engineer,Page Personnel,5,45.000 €,Barcelona,28-12-2022,"['java', 'Microservices']"
Data Analyst 100% Remoto,Page Personnel,3,Sin informacion,Málaga,28-12-2022,"['data', 'R', 'Python', 'MATLAB']"
Data Science - Empresa multinacional,Page Personnel,3,Sin informacion,Madrid,28-12-2022,"['Python', 'R', 'SQL']"
Director of Data Science and ML,Michael Page,3,72.000 €,Madrid,27-12-2022,"['Data Science', 'Machine Learning']"
